filename,ACI,ADI,AEI,BIO,Class,comment
LEEC06__0__20161212_055900_aa.wav,4652.0325419439,1.0706315,0.153525,8.49246372360072,vire_chiv,group 5
LEEC06__0__20161213_051400_aa.wav,772.114157343323,1.1362175,0.0633985,8.07214988659358,vire_chiv,group 2
LEEC06__0__20161213_054600_aa.wav,2981.47380006522,1.147876,0.0304945,6.93102066474915,vire_chiv,group 5
LEEC06__0__20161213_081400_aa.wav,627.372930663856,1.150876,0.0094975,6.53479087156784,vire_chiv,group 1
LEEC06__0__20161214_072900_aa.wav,659.09218302124,1.150146,0.016909,5.86046256975672,vire_chiv,group 1
LEEC06__0__20161215_081400_aa.wav,513.601841584489,1.151243,0.003753,6.15535709926604,vire_chiv,group 1
LEEC06__0__20161216_055900_aa.wav,663.024312287824,0.9816715,0.192451,7.79075906919967,vire_chiv,group 1
LEEC06__0__20161216_064400_aa.wav,554.003566837436,1.1486835,0.0244895,7.16719605943037,vire_chiv,group 1
LEEC06__0__20161218_063100_aa.wav,551.001550066605,0.8019095,0.2875315,9.52320250368418,vire_chiv,group 1
LEEC06__0__20161218_081400_aa.wav,1159.0896534865,0.967648,0.220499,9.88051298811052,vire_chiv,group 4
LEEC06__0__20161219_063100_aa.wav,684.495554375432,1.1496415,0.019813,7.17381569419556,vire_chiv,group 1
LEEC06__0__20170106_055900_br.wav,1928.8172152597,1.1081105,0.1157365,7.26159697131697,vire_chiv,group 5
LEEC06__0__20170108_064400_br.wav,1012.44790809977,1.1512115,0.0046195,6.20178844848018,vire_chiv,group 3
LEEC08__0__20161103_081400_ma.wav,928.440777893565,1.148759,0.0261255,7.63579121014703,vire_chiv,group 3
LEEC08__0__20161126_055900_aa.wav,500.521667188074,1.100266,0.1147995,7.60759603458858,vire_chiv,group 1
LEEC08__0__20170117_080100_br.wav,727.070668922087,1.006934,0.19602,8.15013451018286,vire_chiv,group 2
LEEC09__0__20161023_080100_ma.wav,1054.15433435722,1.0797715,0.143544,10.0615919988026,vire_chiv,group 3
LEEC09__0__20161026_054600_ma.wav,676.570870172111,1.1466535,0.034388,7.39795014449775,vire_chiv,group 1
LEEC09__0__20161027_054600_ma.wav,585.960067008223,1.1463975,0.035766,7.53277044370049,vire_chiv,group 1
LEEC09__0__20161027_072900_ma.wav,543.118352598197,1.14655,0.033292,7.19065620568208,vire_chiv,group 1
LEEC09__0__20161028_054600_ma.wav,784.31434829118,1.151292,0.0002975,4.48083992850374,vire_chiv,group 2
LEEC09__0__20161029_051400_ma.wav,1415.01231747727,0.708226,0.326552,10.0621794535725,vire_chiv,group 4
LEEC09__0__20161029_080100_ma.wav,797.721085632953,1.149628,0.0196185,6.90691946109686,vire_chiv,group 2
LEEC09__0__20161101_050100_ma.wav,1427.88144752667,1.145553,0.0398075,7.14325627323256,vire_chiv,group 4
LEEC09__0__20161101_064400_ma.wav,880.715571230675,1.151292,0.000329,4.34765212757848,vire_chiv,group 2
LEEC09__0__20161101_081400_ma.wav,12302.2992317454,1.111951,0.1008655,6.64236999757203,vire_chiv,group 5
LEEC09__0__20161103_050100_ma.wav,1000.19928425852,1.151108,0.0068145,6.02598575120286,vire_chiv,group 3
LEEC09__0__20161109_055900_ma.wav,663.610818250552,1.1436785,0.044532,7.41138204037335,vire_chiv,group 1
LEEC09__0__20161109_064400_ma.wav,7584.86582222859,0.807597,0.3068995,8.9110585103857,vire_chiv,group 5
LEEC09__0__20161110_064400_ma.wav,4637.93174887073,1.151122,0.007301,5.26167857540614,vire_chiv,group 5
LEEC09__0__20161110_072900_ma.wav,3932.39511299703,1.1256405,0.078653,6.99806904934937,vire_chiv,group 5
LEEC09__0__20161111_051400_ma.wav,2784.3281855235,1.144407,0.042735,7.53888354326966,vire_chiv,group 5
LEEC09__0__20161115_063100_ma.wav,1069.19198376702,1.150425,0.0157635,7.95035677981692,vire_chiv,group 3
LEEC09__0__20161117_063100_ma.wav,691.904083743099,1.0741765,0.136087,7.5611022239791,vire_chiv,group 1
LEEC09__0__20161121_051400_aa.wav,3933.12963387262,0.805366,0.306942,8.060137477052,vire_chiv,group 5
LEEC09__0__20161122_050100_aa.wav,808.731855747671,1.12157,0.085662,7.25529461602893,vire_chiv,group 2
LEEC09__0__20161125_072900_aa.wav,861.872095775202,1.1500865,0.0173835,6.60372080998659,vire_chiv,group 2
LEEC09__0__20161127_051400_aa.wav,1303.34472918282,0.9365595,0.245149,10.4090383903384,vire_chiv,group 4
LEEC09__0__20161209_081400_aa.wav,1105.60942552563,1.145494,0.0414365,7.79530535403469,vire_chiv,group 3
LEEC09__0__20161210_072900_aa.wav,739.550273998819,1.1409175,0.0523415,7.7603960545825,vire_chiv,group 2
LEEC09__0__20161210_080100_aa.wav,970.72033350563,1.1512815,0.00179,5.43680498365642,vire_chiv,group 3
LEEC09__0__20161213_072900_aa.wav,1059.60569703443,1.138648,0.057363,7.8949593925947,vire_chiv,group 3
LEEC09__0__20161213_080100_aa.wav,951.199317462709,1.1512115,0.0047245,7.02259822594975,vire_chiv,group 3
LEEC09__0__20161214_051400_aa.wav,1048.48417858369,0.968343,0.2150375,4.96612161699911,vire_chiv,group 3
LEEC09__0__20161215_081400_aa.wav,742.424614289068,1.1419155,0.053869,6.7413725388704,vire_chiv,group 2
LEEC09__0__20161218_054600_aa.wav,1022.17870285235,0.8721835,0.2801175,9.94788945722553,vire_chiv,group 3
LEEC09__0__20161219_055900_aa.wav,875.22080948806,0.7171755,0.312491,10.6965455311043,vire_chiv,group 2
LEEC09__0__20161222_051400_aa.wav,616.442783300235,1.1019235,0.1108245,7.823638733243,vire_chiv,group 1
LEEC09__0__20161222_072900_aa.wav,935.527876610558,0.9683215,0.2147715,9.55431939566046,vire_chiv,group 3
LEEC09__0__20161222_080100_aa.wav,928.249042556995,0.623366,0.353442,11.8904327183616,vire_chiv,group 3
LEEC15__0__20161019_064400_ma.wav,687.249519949386,0.934487,0.2342975,8.38828125754092,vire_chiv,group 1
LEEC15__0__20161020_072900_ma.wav,671.646067846127,1.151244,0.0034,5.50564193533739,vire_chiv,group 1
LEEC15__0__20161021_072900_ma.wav,635.939609963866,0.971519,0.2177915,7.10325006064324,vire_chiv,group 1
LEEC15__0__20161022_063100_ma.wav,1120.05050642519,0.875202,0.256052,10.0753965190838,vire_chiv,group 3
LEEC15__0__20161024_054600_ma.wav,755.939491975576,1.0579075,0.1496025,7.26895501351434,vire_chiv,group 2
LEEC15__0__20161026_080100_ma.wav,1098.20850433693,1.1499985,0.0187635,6.65118518039387,vire_chiv,group 3
LEEC15__0__20161027_055900_ma.wav,766.455884365101,1.1504825,0.0142485,6.33391219326645,vire_chiv,group 2
LEEC15__0__20161115_071600_ma.wav,855.112103314211,1.1472875,0.030899,6.88142329551149,vire_chiv,group 2
LEEC15__0__20161127_081400_aa.wav,786.012247899552,1.149177,0.022284,6.84238951502376,vire_chiv,group 2
LEEC15__0__20161216_054600_aa.wav,754.366293384533,1.102849,0.1068945,7.2644869902263,vire_chiv,group 2
LEEC15__0__20161216_063100_aa.wav,468.001039183259,1.088314,0.12173,7.53459187218631,vire_chiv,group 1
LEEC15__0__20161220_050100_aa.wav,540.708169029239,1.144046,0.042893,7.46987236300115,vire_chiv,group 1
LEEC18__0__20161019_064400_ma.wav,679.900288110093,1.1512545,0.0029555,5.32972046288747,vire_chiv,group 1
LEEC18__0__20161020_081400_ma.wav,2926.73207121637,1.0934305,0.1194455,7.71412179640235,vire_chiv,group 5
LEEC18__0__20161022_055900_ma.wav,4258.34962661409,0.9761955,0.221899,9.4363663213468,vire_chiv,group 5
LEEC18__0__20161030_055900_ma.wav,497.27181660947,1.1480905,0.028755,7.59677434205462,vire_chiv,group 1
LEEC18__0__20161031_050100_ma.wav,891.216248837862,1.149821,0.020162,7.50695746471257,vire_chiv,group 3
LEEC18__0__20161102_055900_ma.wav,728.559812010233,1.149181,0.023301,7.30539967703244,vire_chiv,group 2
LEEC18__0__20161103_055900_ma.wav,1087.08949781136,1.012123,0.1899095,7.81845744346578,vire_chiv,group 3
LEEC18__0__20161104_064400_ma.wav,970.95023072553,1.1196525,0.0931595,8.86696113337123,vire_chiv,group 3
LEEC18__0__20161106_050100_ma.wav,929.859787845317,1.1511485,0.0057315,6.62250995854584,vire_chiv,group 3
LEEC18__0__20161107_080100_ma.wav,1010.19578882186,1.150982,0.0088695,6.17742013330622,vire_chiv,group 3
LEEC18__0__20161107_081400_ma.wav,523.422850604931,1.133889,0.0649675,7.49127347782551,vire_chiv,group 1
LEEC18__0__20161111_051400_ma.wav,925.592163818206,1.1498435,0.0188645,7.10520163678233,vire_chiv,group 3
LEEC18__0__20161113_054600_ma.wav,2752.27190962712,1.148295,0.0289045,7.81381447075387,vire_chiv,group 5
