filename,Class,ACI,ADI,AEI,BIO,RUGOSITY,MEAN_PSD,STD_PSD,MSP,SPL,SNR,H,Hf,Ht,M,RMS,ROUGHNESS,NPEAKS,BGN,ZCR,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,AR,habitat,low,time,high,date,hour,loc
LEEC36__0__20161207_063100_aa.wav,furn_rufu,14012.3794116358,1.1501495,0.018775,6.3232877926403,0.131285451888617,6491.00760563105,15432.2934892705,2.59640304225242e-06,38.1231211800212,0.42061198551881,0.816519376315701,0.824713717735755,0.990064017071825,0.633265635942719,23933.1822526346,0.116648388216927,115,83.100102037619,0.158505679639571,115.12789714215,-9.0043664511089,-26.6218923386636,-3.24680070452922,6.80527286948463,-0.353126003429001,-1.48434375828833,9.93034603555993,-10.0690001256648,-5.1026633286847,6.00050029560489,-4.34871447622714,0.544421487603306,1,1293.1,7.566902024000001,5104.2,20161207,63100,LEEC36
LEEC36__0__20161212_064400_aa.wav,furn_rufu,9615.47805238469,1.145636,0.031036,2.77359719723161,0.105965301668015,8636.51241338589,25981.7197944123,3.45460496535436e-06,39.3633840157605,0.332407264866404,0.80026688790445,0.807185620854848,0.991428572596387,0.78511843270476,27561.9471246507,0.140681895785174,123,84.2411517708106,0.107291130278064,121.638574245723,2.05658557300457,-17.7145557295191,-7.12704989693501,-2.93651774889703,0.41095691582407,-11.1892685020099,-8.31658129887457,4.73091925681295,-3.52885937175378,-9.30862349608818,0.844778867354681,0.798611111111111,1,244.2,5.634234324000001,3140.0,20161212,64400,LEEC36
LEEC36__0__20170101_071600_br.wav,furn_rufu,5754.05333613955,1.150397,0.0165845,5.46895460500331,0.152677121138375,8718.43184113137,21063.2815115783,3.48737273645255e-06,39.4043837667703,0.413916123959077,0.841605343778341,0.849369877673721,0.99085847744372,0.786443803094582,27586.5867386608,0.281449365914021,124,84.2895222949184,0.156125882612533,120.366337795201,-8.2621558107299,-23.2962669163634,-4.32512229001297,1.38733001820458,-3.37991562529853,-4.8953801178635,12.1618884870906,-2.77060435829725,-3.84430118051174,4.42481033799909,-6.76479732418479,0.758953168044077,2,957.1,3.288176097,4932.7,20170101,71600,LEEC36
LEEC36__0__20170102_081400_br.wav,furn_rufu,6589.90287799079,1.0780975,0.149673,7.97503722290151,0.115168003094773,5482.81973857032,18423.9248265443,2.19312789542813e-06,37.3900396759949,0.29759238545475,0.749343618277409,0.759824631773945,0.986206009836683,0.522388321068512,21945.2579260158,0.208414130551485,108,82.1845200393679,0.146595283926853,99.8515267558331,-6.98947472782947,-28.3427598120571,-0.405230540935536,21.9225928268388,0.0411150186394504,-16.7995392828097,7.09158956064823,0.230695859016925,-6.30581438750784,10.8313108838611,-2.19098070402401,0.213670798898072,2,1964.0,3.0140175519999985,4017.2,20170102,81400,LEEC36
LEEC36__0__20170108_063100_br.wav,furn_rufu,2908.73245867576,1.149608,0.0219935,6.29300728908166,0.164595983972339,10100.3835373699,29032.4142231458,4.04015341494796e-06,40.0433786536688,0.34790022833573,0.826614673713899,0.833673047127798,0.991533403366924,0.898981343091069,29759.9350967734,0.30740201991462,129,85.2431393824834,0.152997013651877,116.797387458715,-12.1279749523272,-22.2044938429233,-0.419582977442828,10.5423953533496,0.167886416228532,-13.4959672366321,6.99284017058662,-1.81999670679629,-4.93510076555388,9.86654217389194,-5.82081732711091,0.875229568411387,2,1828.2,1.699506747000001,4402.5,20170108,63100,LEEC36
LEEC36__0__20170110_064400_br.wav,furn_rufu,9690.97006324366,0.74876,0.321509,9.10758061117719,0.0872710890151982,3011.90524974866,10981.220839071,1.20476209989946e-06,34.7884130545743,0.27427781426928,0.6688362680421,0.677763153352038,0.986828901415209,0.390937952132987,16189.3510759026,0.153750948104805,115,79.0870862494228,0.159707255747126,87.4470525088405,-4.14997057265038,-28.3924708118759,9.61244440885289,25.6390409605732,-13.8144822251987,-18.1071145591837,16.084513323052,3.22797938472422,-8.43639581736272,5.82749368586555,-4.15893088148837,0.161845730027548,2,2580.6,4.039632619999999,4211.3,20170110,64400,LEEC36
LEEC36__0__20170110_071600_br.wav,furn_rufu,8697.87941362022,0.933988,0.2393525,7.98424227097732,0.0871774488658349,3956.47631553533,17744.2976805087,1.58259052621413e-06,35.9730857027505,0.222971705433083,0.641285754833441,0.649831927184435,0.98684864194343,0.443499291802997,18300.7360831535,0.150907635335783,95,80.6932223700362,0.139272186147186,88.1946750799666,-4.12382021740062,-24.6073150554249,1.6036991383244,25.2805650511081,-1.23126991473641,-26.3806336752323,8.22751377133396,16.6219118905479,-11.7571801247215,-2.40362317990138,4.31351920569063,0.206382001836547,2,2534.8,3.3522885040000006,3451.0,20170110,71600,LEEC36
LEEC36__0__20170121_050100_br.wav,furn_rufu,4720.53411505411,1.151011,0.0088675,5.1127950964854,0.148657189253143,9906.33363703479,28805.7751497029,3.96253345481391e-06,39.9591295056781,0.34390095685854,0.820119337373666,0.826631057370368,0.992122580032963,0.899117373312396,29625.31884322,0.283120450352426,128,85.0465434285906,0.139900293068298,118.809135141664,-8.92430986522596,-23.4439200417962,-5.17169951134257,5.87837642947921,5.29704207878622,-8.89289406965617,5.33642031838832,0.648785013485596,-12.5415660855102,4.50881483175522,2.91837246906977,0.918388429752066,2,1238.8,2.8456725559999967,4058.1,20170121,50100,LEEC36
LEEC37__0__20161118_051400_ma.wav,furn_rufu,6248.25797742105,0.9780775,0.2258975,8.57358609608597,0.0544740277556573,1925.58854936337,7325.64885972299,7.70235419745347e-07,32.8456349471448,0.262855698687717,0.639949320808993,0.649570768522544,0.985187991547965,0.299630142557307,12846.0438205675,0.104995852082883,85,77.0425872829162,0.123680696846389,82.0528609386578,5.09970605335858,-34.5163215192479,-8.9014769209923,25.9770285940169,10.5443311784617,-17.4878552254067,-2.862571884558,8.07362680240694,-5.17383164437487,-1.53696244267942,8.27380854920829,0.068870523415978,3,1745.9,2.8506086780000004,3297.8,20161118,51400,LEEC37
LEEC40__0__20161020_054600_ma.wav,furn_rufu,8717.56924549815,1.113386,0.1046265,7.13197787994681,0.11462739252744,5570.790801662,17086.9057740204,2.2283163206648e-06,37.4591684982729,0.326026893068728,0.751466895050704,0.759881617301055,0.988926272120862,0.569277802035158,22065.9448915234,0.140870927612742,119,81.8934276054161,0.151248563690085,104.755961589044,-10.3662714857194,-25.5502601601327,0.866838113805186,18.8731946805261,-0.675535160890968,-17.2608740542923,7.64555610913941,0.590246536211699,-5.38054179293829,10.8010683045549,-4.70671905290358,0.433884297520661,3,2064.3,4.419415711999999,4216.3,20161020,54600,LEEC40
LEEC40__0__20161022_054600_ma.wav,furn_rufu,9505.56334228702,0.9166775,0.259824,7.22692433896807,0.0750109535293372,3748.19216078039,14454.2098737248,1.49927686431216e-06,35.7382184801811,0.259314911954747,0.679202628882155,0.68923606600504,0.985442669619654,0.416153750724749,18182.5151908069,0.150214442248838,125,80.5463247306343,0.113079082391434,89.2900818276612,4.8348825056846,-32.5544898384068,-15.2155530557942,18.8642380688042,15.5087956699452,-12.0064645931557,-4.34335253854931,7.40387551337432,-4.94954572630899,-4.40086798204784,8.0543763465626,0.1258608815427,3,1717.5,4.877052405000001,3102.5,20161022,54600,LEEC40
LEEC40__0__20161104_064400_ma.wav,furn_rufu,4588.62232410935,0.826669,0.298695,8.56148227674451,0.0729551058687593,3075.99157964251,15433.5992407975,1.230396631857e-06,34.879851422738,0.199304875787584,0.606328436369588,0.61620040999922,0.983979280978336,0.374302934985395,16637.5413747553,0.224185988398891,115,79.1993709080289,0.125859375,81.0967104906199,2.49650019236434,-28.6257519668159,-3.11897570456798,26.6056564690174,5.97720114110892,-24.7826844226866,-3.29989165475347,17.9870966641876,-1.84237437350555,-8.32856048704599,2.73860180496521,0.0712809917355372,3,2337.1,2.319573705,3200.8,20161104,64400,LEEC40
LEEC40__0__20161108_080100_ma.wav,furn_rufu,6140.57385103531,0.9013775,0.245535,7.02696883535112,0.134060017680886,8445.97021842874,45612.4858234729,3.3783880873715e-06,39.266495457137,0.185167943951047,0.676708940905263,0.68285232875763,0.991003343484902,0.783235093548315,27500.5668378377,0.111910756753045,87,84.0992373793943,0.138373242530756,99.839511949972,-11.8751638631742,-16.2186345425622,-0.590747862797234,19.9803879243118,3.18273059547811,-27.7742088315425,8.33782343647172,19.995646710355,-17.2658129350931,0.0792569985776983,3.45996575643823,0.772038567493113,3,2612.3,3.3024079729999993,3311.6,20161108,80100,LEEC40
LEEC40__0__20161122_063100_aa.wav,furn_rufu,14442.4408183623,1.14869,0.0287505,4.68978548548422,0.125613952784344,7492.72851280467,20889.9995039577,2.99709140512187e-06,38.7463999690787,0.358675380120768,0.807947780141119,0.815437353145714,0.990815268670607,0.704883902551091,25792.4945459485,0.103673572515274,125,83.992228944714,0.138559893894267,117.422649151585,-5.44920473296505,-24.4237151514233,-8.692369002971,1.15403138303325,0.237014095590186,-8.14733187828915,10.043933539355,5.35647942383902,-9.07442508140586,2.47265030876538,0.0830403346166169,0.66798668503214,1,923.9,7.793262342,4003.5,20161122,63100,LEEC40
LEEC40__0__20161125_055900_aa.wav,furn_rufu,1517.19366293703,1.151203,0.005191,5.02083566575784,0.160519734903918,12241.8180538513,35735.7492112313,4.89672722154054e-06,40.8784592043391,0.34256503148964,0.836987733299262,0.842949943010862,0.992926970621406,1.00592610426673,32653.8858893509,0.652089711029165,136,85.816338749045,0.131939052795031,121.196636293091,-9.98981437510628,-21.4470730453786,-3.63849178869564,6.10497830603617,5.2841813608252,-12.7869108105922,-0.611172452315349,2.92095259916876,-7.219796060775,5.45413614753893,3.5285632180346,0.969926538108356,1,1642.0,0.931794564999997,3893.9,20161125,55900,LEEC40
LEEC40__0__20161128_064400_aa.wav,furn_rufu,14174.3582659613,0.5854985,0.369371,9.29943061157602,0.0572858310964463,1388.54532545603,7699.19458380851,5.55418130182413e-07,31.4256006073314,0.180349426208315,0.66017261151222,0.675334343040133,0.977549295864831,0.199782832904892,11170.8126715727,0.135135185527858,99,74.8173547538711,0.138436588161734,75.719063166816,3.95298800046985,-36.0602519106819,-0.652668152764302,29.614783845933,0.555501467106596,-19.3949745309081,4.04884330872183,5.19751588020044,-6.78629488049507,4.86297692288735,4.60917924362264,0.0082070707070707,1,1910.5,6.960277742999999,3621.9,20161128,64400,LEEC40
LEEC40__0__20161211_071600_aa.wav,furn_rufu,10059.5795454287,1.105298,0.1097075,7.30080668422945,0.165538321429615,9801.52433015192,31668.4973303887,3.92060973206077e-06,39.9129362229385,0.309503928395949,0.80344961297187,0.809967184795356,0.991953289039563,0.884094342369745,29397.1865214964,0.458383178032549,107,85.0885135576204,0.156919529665314,111.924910415906,-14.37867826283,-20.9112938260526,2.04062467773174,14.2726477704562,-3.94692604620623,-16.0215250304927,14.0075057058317,-0.0231596160258808,-7.58607705825095,8.09064455809314,-7.89902528692071,0.889577594123049,1,2244.6,5.723682301,4357.2,20161211,71600,LEEC40
LEEC40__0__20161216_080100_aa.wav,furn_rufu,3223.41588112939,1.150189,0.0150055,3.34013415946399,0.108416198240613,8428.54160240387,23820.269623858,3.37141664096155e-06,39.2575243478822,0.353839051173543,0.791635053597282,0.799347771987957,0.99035123551856,0.77277351819958,27330.5269270806,0.420968326370694,132,84.3567669459546,0.108372456964006,117.765605638477,-2.82285679283547,-24.0524865591253,-10.5216241080395,-0.787089826476669,6.2972122200268,-2.64021504433646,1.37980177117556,6.67842041228394,-6.91335098857529,-7.87955549797585,4.30561945808465,0.693927915518825,1,1133.4,1.8536764219999995,3606.3,20161216,80100,LEEC40
LEEC40__0__20161230_071600_br.wav,furn_rufu,3461.54010856376,1.1440985,0.043473,6.53489694318938,0.102048288419623,6302.95650609095,21233.8463220783,2.52118260243638e-06,37.9954431026224,0.296835364186343,0.745689579473842,0.754338153766447,0.988534884190303,0.610711506800671,23434.2688270682,0.329091911009128,121,83.1289182818507,0.124115566037736,107.704253287951,-7.30025199544885,-25.8701553087419,-8.26863762291859,12.0835000181387,11.7269884234645,-13.5934299896208,-3.13449819191385,7.5949270130643,-8.64448654823044,1.11889078360111,9.72583337519328,0.408057851239669,2,1559.1,1.8437637140000014,3508.0,20161230,71600,LEEC40
LEEC40__0__20170104_054600_br.wav,furn_rufu,9830.56176342349,0.7870995,0.3106565,8.30221552816017,0.0725350834569727,2785.00937112789,11592.1978044763,1.11400374845115e-06,34.4482666084629,0.240248606701005,0.637002749663229,0.646882865996237,0.984726575934591,0.353768025509445,15818.1475245501,0.133384109553048,129,79.3332085407244,0.131277447950553,82.3050788521937,1.32210309717488,-30.5238060994431,-0.170427873567804,28.0790643373246,1.02298029287906,-24.7124988286189,2.75754901691337,14.5470090148323,-5.5659187571661,-3.52697696285175,4.01660531816424,0.0870638200183655,2,2392.7,4.4607186630000015,3612.4,20170104,54600,LEEC40
LEEC40__0__20170107_081400_br.wav,furn_rufu,3609.72943975914,0.9897105,0.2203425,8.40642342354519,0.10239001325516,3923.30298697585,14357.3269454062,1.56932119479034e-06,35.9365184891224,0.273261380888952,0.730555355575292,0.74925172054268,0.975046617238535,0.324114818731026,18688.1043354146,0.585409921554098,131,79.9985377221467,0.143155463836478,87.737365821673,-0.800010253384751,-33.6519163717495,0.66709855038269,26.3850504808128,-1.4860399274673,-16.7055039791881,7.55560029450469,0.441901821643366,-7.11597771186487,10.0035538913579,-0.267419996448636,0.0247933884297521,2,2046.8,1.8437637139999978,4093.7,20170107,81400,LEEC40
LEEC40__0__20170117_072900_br.wav,furn_rufu,1794.73006635859,1.031219,0.1671295,7.46923100022939,0.135681262050931,8634.91055972646,39466.7995491904,3.45396422389058e-06,39.3625784351107,0.218789226852918,0.714543019867526,0.722635044759157,0.988802058590547,0.757133518529751,27201.3641094633,0.118058915809614,117,84.0803483618674,0.139703171091445,103.768253900645,-12.3083270048514,-17.9764498577252,-0.320948115780454,19.0248065347511,3.65491965946751,-25.9508370678567,8.22858984321881,16.2769514777177,-15.0528874163173,2.13676242103674,1.85263548810518,0.566976584022039,2,2461.6,0.9813080410000019,3501.7,20170117,72900,LEEC40
